inicio,fim,prefixo,origin
2022-01-02T00:00:00,2022-01-03T23:59:59,91.206.110.0/23,47598
2022-01-04T00:00:00,2022-01-11T23:59:59,91.206.110.0/23,47598
2022-01-12T00:00:00,2022-01-13T23:59:59,91.206.110.0/23,47598
2022-01-14T00:00:00,2022-01-15T23:59:59,91.206.110.0/23,47598
2022-01-16T00:00:00,2022-01-23T23:59:59,91.206.110.0/23,47598
2022-01-24T00:00:00,2022-02-04T23:59:59,91.206.110.0/23,47598
2022-02-05T00:00:00,2022-02-08T23:59:59,91.206.110.0/23,47598
2022-02-09T00:00:00,2022-03-02T23:59:59,91.206.110.0/23,47598
2022-03-03T00:00:00,2022-03-04T23:59:59,91.206.110.0/23,47598
2022-03-05T00:00:00,2022-03-06T23:59:59,91.206.110.0/23,47598
2022-03-07T00:00:00,2022-03-10T23:59:59,91.206.110.0/23,47598
2022-03-11T00:00:00,2022-03-20T23:59:59,91.206.110.0/23,47598
2022-03-21T00:00:00,2022-04-01T23:59:59,91.206.110.0/23,47598
2022-04-02T00:00:00,2022-04-05T23:59:59,91.206.110.0/23,47598
2022-04-06T00:00:00,2022-04-11T23:59:59,91.206.110.0/23,47598
2022-04-12T00:00:00,2022-04-21T23:59:59,91.206.110.0/23,47598
2022-04-22T00:00:00,2022-04-29T23:59:59,91.206.110.0/23,47598
2022-04-30T00:00:00,2022-05-01T23:59:59,91.206.110.0/23,47598
2022-05-02T00:00:00,2022-05-05T23:59:59,91.206.110.0/23,47598
2022-05-06T00:00:00,2022-05-11T23:59:59,91.206.110.0/23,47598
2022-05-12T00:00:00,2022-05-15T23:59:59,91.206.110.0/23,47598
2022-05-16T00:00:00,2022-05-19T23:59:59,91.206.110.0/23,47598
2022-05-20T00:00:00,2022-05-23T23:59:59,91.206.110.0/23,47598
2022-05-24T00:00:00,2022-05-25T23:59:59,91.206.110.0/23,47598
2022-05-26T00:00:00,2022-05-27T23:59:59,91.206.110.0/23,47598
2022-05-28T00:00:00,2022-06-06T23:59:59,91.206.110.0/23,47598
2022-06-07T00:00:00,2022-06-08T23:59:59,91.206.110.0/23,47598
2022-06-09T00:00:00,2022-06-14T23:59:59,91.206.110.0/23,47598
2022-06-15T00:00:00,2022-06-16T23:59:59,91.206.110.0/23,47598
2022-06-17T00:00:00,2022-06-24T23:59:59,91.206.110.0/23,47598
2022-06-25T00:00:00,2022-06-30T23:59:59,91.206.110.0/23,47598
